,date,hour,energy_kWh
0,2015-03-26,0,0.93
1,2015-03-26,1,0.86
2,2015-03-26,2,1.29
3,2015-03-26,3,1.24
4,2015-03-26,4,0.92
5,2015-03-26,5,1.02
6,2015-03-26,6,1.26
7,2015-03-26,7,1.26
8,2015-03-26,8,1.73
9,2015-03-26,9,1.16
10,2015-03-26,10,0.8
11,2015-03-26,11,0.83
12,2015-03-26,12,0.77
13,2015-03-26,13,0.71
14,2015-03-26,14,0.78
15,2015-03-26,15,0.91
16,2015-03-26,16,1.18
17,2015-03-26,17,1.78
18,2015-03-26,18,1.38
19,2015-03-26,19,1.86
20,2015-03-26,20,1.56
21,2015-03-26,21,1.43
22,2015-03-26,22,1.02
23,2015-03-26,23,0.93
24,2015-03-27,0,1.04
25,2015-03-27,1,0.73
26,2015-03-27,2,0.76
27,2015-03-27,3,0.86
28,2015-03-27,4,1.2
29,2015-03-27,5,0.78
30,2015-03-27,6,1.45
31,2015-03-27,7,1.96
32,2015-03-27,8,0.95
33,2015-03-27,9,0.88
34,2015-03-27,10,0.88
35,2015-03-27,11,0.88
36,2015-03-27,12,1.07
37,2015-03-27,13,1.32
38,2015-03-27,14,1.13
39,2015-03-27,15,0.99
40,2015-03-27,16,1.05
41,2015-03-27,17,0.95
42,2015-03-27,18,1.09
43,2015-03-27,19,1.48
44,2015-03-27,20,1.1
45,2015-03-27,21,1.53
46,2015-03-27,22,1.18
47,2015-03-27,23,1.12
48,2015-03-28,0,0.75
49,2015-03-28,1,0.72
50,2015-03-28,2,0.77
51,2015-03-28,3,0.92
52,2015-03-28,4,1.12
53,2015-03-28,5,0.83
54,2015-03-28,6,0.79
55,2015-03-28,7,1.36
56,2015-03-28,8,1.2
57,2015-03-28,9,1.28
58,2015-03-28,10,1.04
59,2015-03-28,11,0.91
60,2015-03-28,12,1.71
61,2015-03-28,13,1.54
62,2015-03-28,14,1.31
63,2015-03-28,15,1.4
64,2015-03-28,16,1.46
65,2015-03-28,17,1.49
66,2015-03-28,18,2.62
67,2015-03-28,19,1.55
68,2015-03-28,20,1.87
69,2015-03-28,21,2.16
70,2015-03-28,22,1.99
71,2015-03-28,23,1.57
72,2015-03-29,0,1.37
73,2015-03-29,1,1.0
74,2015-03-29,2,1.61
75,2015-03-29,3,0.89
76,2015-03-29,4,1.4
77,2015-03-29,5,1.12
78,2015-03-29,6,1.12
79,2015-03-29,7,1.32
80,2015-03-29,8,1.44
81,2015-03-29,9,1.94
82,2015-03-29,10,1.87
83,2015-03-29,11,4.33
84,2015-03-29,12,1.81
85,2015-03-29,13,2.25
86,2015-03-29,14,1.72
87,2015-03-29,15,1.91
88,2015-03-29,16,1.64
89,2015-03-29,17,1.41
90,2015-03-29,18,4.18
91,2015-03-29,19,1.92
92,2015-03-29,20,3.78
93,2015-03-29,21,3.19
94,2015-03-29,22,1.68
95,2015-03-29,23,1.66
96,2015-03-30,0,0.89
97,2015-03-30,1,1.32
98,2015-03-30,2,1.17
99,2015-03-30,3,1.06
100,2015-03-30,4,1.47
101,2015-03-30,5,0.94
102,2015-03-30,6,1.74
103,2015-03-30,7,2.02
104,2015-03-30,8,1.54
105,2015-03-30,9,0.44
106,2015-03-30,10,0.44
107,2015-03-30,11,0.28
108,2015-03-30,12,0.36
109,2015-03-30,13,0.31
110,2015-03-30,14,0.24
111,2015-03-30,15,0.39
112,2015-03-30,16,0.64
113,2015-03-30,17,0.8
114,2015-03-30,18,1.72
115,2015-03-30,19,1.39
116,2015-03-30,20,1.4
117,2015-03-30,21,1.71
118,2015-03-30,22,0.82
119,2015-03-30,23,0.38
120,2015-03-31,0,0.73
121,2015-03-31,1,0.21
122,2015-03-31,2,0.69
123,2015-03-31,3,0.77
124,2015-03-31,4,0.23
125,2015-03-31,5,0.75
126,2015-03-31,6,1.08
127,2015-03-31,7,1.36
128,2015-03-31,8,0.63
129,2015-03-31,9,0.45
130,2015-03-31,10,0.43
131,2015-03-31,11,0.86
132,2015-03-31,12,0.35
